AppID;Name;Release_Date;Primary_Genre;All_Tags;Price_USD;Review_Score_Pct_SteamDB;Total_Reviews;Positive_Reviews;Steam_Deck_Status;Estimated_Owners;24h_Peak_Players;Is_DLC?
1281040;Baby Steps;23/9/2025;Action;"Walking Simulator;Action;Adventure;Exploration;Comedy;Casual;Funny;Third Person;Comedy;3D;Physics;Singleplayer;Indie;Controller;Difficult;Psychological Horror;Nature;Satire;Horror;Sexual Content;Dating Sim";19,99;86,91;2362;2146;Verified;70860;76;No
3645890;GONE Fishing;16/6/2025;Action;"Action;Adventure;Horror;Multiplayer;Fishing;First-Person;Online Co-Op;3D;Co-op;Atmospheric;Dark;Survival Horror;Indie;Nature;Early Access;Singleplayer";9,99;86,91;3043;2755;Playable;91290;259;No
620980;Beat Saber;21/5/2019;Indie;"VR;Rhythm;Music;Moddable;Fast-Paced;Difficult;Multiplayer;Singleplayer;First-Person;Swordplay;Indie;Sports;Action;Great Soundtrack;Futuristic;Casual;Music-Based Procedural Generation;PvP;Early Access;Nudity";29,99;93,98;76014;72612;Unsupported;2280420;412;No
2373990;Solo Leveling: ARISE OVERDRIVE;24/11/2025;Action;"Action;Anime;Action RPG;Online Co-Op;Combat;Hack and Slash;Story Rich;Singleplayer;RPG;PvE;Controller;Co-op;Third Person;Multiplayer;Cartoony;Fantasy;Modern;3D;PvP;Souls-like";39,99;69,74;7993;5687;Playable;239790;596;No
1846380;Need for Speed™ Unbound;2/12/2022;Action;"Racing;Multiplayer;Open World;Driving;Action;Singleplayer;Character Customization;Controller;Combat Racing;Arcade;Online Co-op;Casual;Simulation;Sports;Adventure;Atmospheric;Anime;Music;Immersive;Split Screen";69,99;59,9;57876;34887;Unsupported;1736280;918;No
2124120;SULFUR;28/10/2024;Action;"Early Access;Gun Customization;Stylized;Roguelite;Difficult;Dungeon Crawler;Boomer Shooter;Shooter;FPS;Roguelike;Extraction Shooter;Action RPG;RPG;2D;3D;Action-Adventure;First-Person;Dark Humor;Cooking;Action Rougelike;Singleplayer";20,44;84,26;8674;7516;Verified;260220;572;No
1451090;Tactics Ogre: Reborn;11/11/2022;RPG;"Tactical RPG;Turn-Based Tactics;Strategy RPG;RPG;Simulation;2.5D;JRPG;Turn-Based;Fantasy;Singleplayer;Turn-Based Combat;Pixel Graphics;Turn-Based Strategy;Party-Based RPG;Story Rich;Isometric;Great Soundtrack;Remake;Retro;Anime";49,99;71,53;4428;3250;Verified;132840;306;No
2956680;LORT;21/1/2026;Action;"Early Access;Online Co-Op;Action Roguelike;Third-Person Shooter;Multiplayer;Roguelite;Co-op;Action;Singleplayer;Funny;Difficult;PvE;Procedural Generation;Looter Shooter;3D;Third Person;Choices Matter;Controller;Fantasy;Magic;Combat";14,99;75,36;4019;3120;Playable;120570;356;No
1604030;V Rising;8/5/2024;Action;"Survival;Open World;Base Building;Vampires;Multiplayer;Crafting;Online Co-Op;PvE;PvP;Hack and Slash;Building;Sandbox;Exploration;Massively Multiplayer;Dark Fantasy;Singleplayer;Action-Adventure;Adventure;Action;Co-op";34,99;87,8;134407;119510;Verified;4032210;10382;No
322330;Don't Starve Together;21/4/2016;Action;"Survival;Open World Survival Craft;Multiplayer;Co-op;Open World;Adventure;Crafting;Online Co-Op;Sandbox;Difficult;Indie;2D;Atmospheric;Survival Horror;Funny;Strategy;Horror;Singleplayer;Action;Rougelike";14,99;94,18;531893;505454;Verified;15956790;42562;No
573090;Stormworks: Build and Rescue;17/9/2020;Simulation;"Sandbox;Building;Open World;Base Building;Immersive Sim;Physics;Flight;Automation;Programming;Sailing;Exploration;PvP;Naval;Trains;Survival;Tutorial;First-Person;Open World Survival Craft;Third Person;Character Customization";24,99;88,94;58440;52845;Playable;1753200;1920;No
784080;MechWarrior 5: Mercenaries;27/5/2021;Action;"Mechs;Simulation;FPS;Action;Shooter;Co-op;Vehicular Combat;First-Person;Moddable;Singleplayer;Destruction;3D;Online Co-op;Combat;Futuristic;Tutorial;Economy;Management;PvE;Resource Management";29,99;82,86;14900;12634;Playable;447000;2562;No
220200;Kerbal Space Program;27/4/2015;Indie;"Space;Simulation;Sandbox;Physics;Science;Space Sim;Building;Moddable;Education;Indie;Signleplayer;Open World;Exploration;Funny;Sci-fi;Difficult;Adventure;Strategy;Replay Value;Comedy";39,99;94,2;141102;134727;Playable;4233060;9698;No
2198150;Tiny Glade;23/9/2024;Casual;"Building;Design & Illustration;Relaxing;Sandbox;Cozy;Casual;Medieval;Cute;Indie;Procedural Generation;Experimental;Nature;Family Friendly;Simulation;First-Person;Top-Down;Colorful;Singleplayer;Stylized;Atmospheric";14,99;95;23750;23104;Verified;712500;302;No
1888160;ARMORED CORE™ VI FIRES OF RUBICON™;24/8/2023;Action;"Mechs;Character Customization;Action;Robots;Third Person;Combat;Fast-Paced;Souls-like;Sci-fi;3D;Multiplayer;Futuristic;Post-apocalyptic;Singleplayer;Difficult;Vehicular Combat;Soundtrack;Military;Action-Adventure;Atmospheric";59,99;90,29;83584;76613;Playable;2507520;1384;No
1203220;NARAKA: BLADEPOINT;12/8/2021;Action;"Battle Royale;Multiplayer;Martial Arts;PvP;Action;Female Protagonist;Character Customization;Massively Multiplayer;Fighting;Survival;Third Person;Swordplay;Hack and Slash;Anime;Free to Play;Parkour;Adventure;Violent;Gore;Open World";0;68,81;340287;235551;Playable;10208610;66739;No
1757300;Jump Space;19/9/2025;Action;"Co-op;PvE;Space;FPS;Sci-fi;Action;First-Person;Exploration;Roguelite;Shooter;Adventure;Spaceships;Early Access;Multiplayer;Action Roguelike;Indie;Flight;Dark;Combat;Atmospheric";19,99;83,89;10838;9331;Playable;325140;707;No
392160;X4: Foundations;30/11/2018;Action;"Space;Simulation;Open World;Exploration;Space Sim;Sandbox;Sci-fi;Strategy;4X;Moddable;Economy;Trading;Flight;Atmospheric;Singleplayer;3D;First-Person;Building;Management;Action";49,99;78,59;28572;22844;Verified;857160;3097;No
961200;Predecessor;20/8/2024;Action;"MOBA;Third Person;Action;Competitive;Sci-fi;PvP;PvE;Hero Shooter;eSports;Character Customization;Strategy;3D;Team-Based;Controller;Realistic;Fantasy;Tactical;Combat;Massively Multiplayer;Third-Person Shooter";0;70,75;16910;12162;Playable;507300;3032;No
1845910;Dragon Age™: The Veilguard;31/10/2024;Action;"LGBTQ+;Fantasy;Singleplayer;RPG;Politics;Action RPG;Strategy;CRPG;Turn-Based Tactics;Character Customization;Third Person;Action;Adventure;Dragons;Romance;Magic;Story Rich;Multiple Endings;Lore-Rich;Choices Matter";59,99;67,69;44212;30252;Verified;1326360;591;No
